2026-02-21 09:10:27,828 - nanochat.common - [32m[1mINFO[0m - Distributed world size: 1
2026-02-21 09:10:27,828 - nanochat.common - [33m[1mWARNING[0m - Peak flops undefined for: NVIDIA A10, MFU will show as 0%

                                                       █████                █████
                                                      ░░███                ░░███
     ████████    ██████   ████████    ██████   ██████  ░███████    ██████  ███████
    ░░███░░███  ░░░░░███ ░░███░░███  ███░░███ ███░░███ ░███░░███  ░░░░░███░░░███░
     ░███ ░███   ███████  ░███ ░███ ░███ ░███░███ ░░░  ░███ ░███   ███████  ░███
     ░███ ░███  ███░░███  ░███ ░███ ░███ ░███░███  ███ ░███ ░███  ███░░███  ░███ ███
     ████ █████░░████████ ████ █████░░██████ ░░██████  ████ █████░░███████  ░░█████
    ░░░░ ░░░░░  ░░░░░░░░ ░░░░ ░░░░░  ░░░░░░   ░░░░░░  ░░░░ ░░░░░  ░░░░░░░░   ░░░░░
    
Autodetected device type: cuda
GPU: NVIDIA A10 | Peak FLOPS (BF16): inf
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
WARNING: Flash Attention 3 not available, using PyTorch SDPA fallback
WARNING: Training will be less efficient without FA3
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
Vocab size: 32,768
Model config:
{
  "sequence_len": 2048,
  "vocab_size": 32768,
  "n_layer": 12,
  "n_head": 6,
  "n_kv_head": 6,
  "n_embd": 768,
  "window_pattern": "L"
}
Parameter counts:
wte                     : 25,165,824
value_embeds            : 150,994,944
lm_head                 : 25,165,824
transformer_matrices    : 84,935,808
scalars                 : 24
total                   : 286,262,424
Estimated FLOPs per token: 8.871022e+08
Auto-computed optimal batch size: 524,288 tokens
Scaling weight decay from 0.200000 to 0.200000 for depth 12
Scaling the LR for the AdamW parameters ∝1/√(768/768) = 1.000000
Calculated number of iterations from target data:param ratio: 2,111
Total number of training tokens: 1,106,771,968
Tokens : Scaling params ratio: 10.05
Total training FLOPs estimate: 9.818199e+17
Tracking time-to-target using val_bpb with threshold 0.925622
Time-to-target extrapolation method: linear fit over the most recent eval points
Tokens / micro-batch / rank: 4 x 2048 = 8,192
Tokens / micro-batch: 8,192
Total batch size 524,288 => gradient accumulation steps: 64
Step 00000 | Validation bpb: 3.189219
step 00000/02111 (0.00%) | loss: 10.397422 | lrm: 1.00 | dt: 10912.83ms | tok/sec: 48,043 | bf16_mfu: 0.00 | epoch: 1 | total time: 0.00m
step 00001/02111 (0.05%) | loss: 10.179267 | lrm: 1.00 | dt: 9084.64ms | tok/sec: 57,711 | bf16_mfu: 0.00 | epoch: 1 | total time: 0.00m
step 00002/02111 (0.09%) | loss: 9.757224 | lrm: 1.00 | dt: 9131.30ms | tok/sec: 57,416 | bf16_mfu: 0.00 | epoch: 1 | total time: 0.00m
step 00003/02111 (0.14%) | loss: 9.298414 | lrm: 1.00 | dt: 9139.48ms | tok/sec: 57,365 | bf16_mfu: 0.00 | epoch: 1 | total time: 0.00m
step 00004/02111 (0.19%) | loss: 8.858530 | lrm: 1.00 | dt: 9156.12ms | tok/sec: 57,260 | bf16_mfu: 0.00 | epoch: 1 | total time: 0.00m
step 00005/02111 (0.24%) | loss: 8.447828 | lrm: 1.00 | dt: 9151.23ms | tok/sec: 57,291 | bf16_mfu: 0.00 | epoch: 1 | total time: 0.00m
step 00006/02111 (0.28%) | loss: 8.101741 | lrm: 1.00 | dt: 9173.24ms | tok/sec: 57,154 | bf16_mfu: 0.00 | epoch: 1 | total time: 0.00m
step 00007/02111 (0.33%) | loss: 7.833336 | lrm: 1.00 | dt: 9180.85ms | tok/sec: 57,106 | bf16_mfu: 0.00 | epoch: 1 | total time: 0.00m
step 00008/02111 (0.38%) | loss: 7.608476 | lrm: 1.00 | dt: 9185.23ms | tok/sec: 57,079 | bf16_mfu: 0.00 | epoch: 1 | total time: 0.00m
step 00009/02111 (0.43%) | loss: 7.398172 | lrm: 1.00 | dt: 9178.62ms | tok/sec: 57,120 | bf16_mfu: 0.00 | epoch: 1 | total time: 0.00m
step 00010/02111 (0.47%) | loss: 7.215233 | lrm: 1.00 | dt: 9188.55ms | tok/sec: 57,058 | bf16_mfu: 0.00 | epoch: 1 | total time: 0.00m
step 00011/02111 (0.52%) | loss: 7.058055 | lrm: 1.00 | dt: 9181.05ms | tok/sec: 57,105 | bf16_mfu: 0.00 | epoch: 1 | total time: 0.15m | eta: 321.3m
step 00012/02111 (0.57%) | loss: 6.939246 | lrm: 1.00 | dt: 9174.50ms | tok/sec: 57,146 | bf16_mfu: 0.00 | epoch: 1 | total time: 0.31m | eta: 321.1m
step 00013/02111 (0.62%) | loss: 6.870074 | lrm: 1.00 | dt: 9179.11ms | tok/sec: 57,117 | bf16_mfu: 0.00 | epoch: 1 | total time: 0.46m | eta: 320.9m
step 00014/02111 (0.66%) | loss: 6.783245 | lrm: 1.00 | dt: 9175.77ms | tok/sec: 57,138 | bf16_mfu: 0.00 | epoch: 1 | total time: 0.61m | eta: 320.8m
step 00015/02111 (0.71%) | loss: 6.711052 | lrm: 1.00 | dt: 9179.46ms | tok/sec: 57,115 | bf16_mfu: 0.00 | epoch: 1 | total time: 0.76m | eta: 320.6m
step 00016/02111 (0.76%) | loss: 6.620359 | lrm: 1.00 | dt: 9176.98ms | tok/sec: 57,130 | bf16_mfu: 0.00 | epoch: 1 | total time: 0.92m | eta: 320.5m
step 00017/02111 (0.81%) | loss: 6.553634 | lrm: 1.00 | dt: 9178.81ms | tok/sec: 57,119 | bf16_mfu: 0.00 | epoch: 1 | total time: 1.07m | eta: 320.3m
step 00018/02111 (0.85%) | loss: 6.528714 | lrm: 1.00 | dt: 9184.85ms | tok/sec: 57,081 | bf16_mfu: 0.00 | epoch: 1 | total time: 1.22m | eta: 320.2m
step 00019/02111 (0.90%) | loss: 6.462903 | lrm: 1.00 | dt: 9180.97ms | tok/sec: 57,105 | bf16_mfu: 0.00 | epoch: 1 | total time: 1.38m | eta: 320.0m
step 00020/02111 (0.95%) | loss: 6.408108 | lrm: 1.00 | dt: 9184.11ms | tok/sec: 57,086 | bf16_mfu: 0.00 | epoch: 1 | total time: 1.53m | eta: 319.9m
step 00021/02111 (0.99%) | loss: 6.351210 | lrm: 1.00 | dt: 9181.20ms | tok/sec: 57,104 | bf16_mfu: 0.00 | epoch: 1 | total time: 1.68m | eta: 319.8m
step 00022/02111 (1.04%) | loss: 6.322743 | lrm: 1.00 | dt: 9183.92ms | tok/sec: 57,087 | bf16_mfu: 0.00 | epoch: 1 | total time: 1.84m | eta: 319.6m
step 00023/02111 (1.09%) | loss: 6.272837 | lrm: 1.00 | dt: 9182.59ms | tok/sec: 57,095 | bf16_mfu: 0.00 | epoch: 1 | total time: 1.99m | eta: 319.5m
step 00024/02111 (1.14%) | loss: 6.232695 | lrm: 1.00 | dt: 9174.63ms | tok/sec: 57,145 | bf16_mfu: 0.00 | epoch: 1 | total time: 2.14m | eta: 319.3m
step 00025/02111 (1.18%) | loss: 6.202719 | lrm: 1.00 | dt: 9181.88ms | tok/sec: 57,100 | bf16_mfu: 0.00 | epoch: 1 | total time: 2.29m | eta: 319.2m
step 00026/02111 (1.23%) | loss: 6.171748 | lrm: 1.00 | dt: 9177.28ms | tok/sec: 57,128 | bf16_mfu: 0.00 | epoch: 1 | total time: 2.45m | eta: 319.0m
step 00027/02111 (1.28%) | loss: 6.136458 | lrm: 1.00 | dt: 9179.50ms | tok/sec: 57,115 | bf16_mfu: 0.00 | epoch: 1 | total time: 2.60m | eta: 318.8m
step 00028/02111 (1.33%) | loss: 6.095945 | lrm: 1.00 | dt: 9187.26ms | tok/sec: 57,066 | bf16_mfu: 0.00 | epoch: 1 | total time: 2.75m | eta: 318.7m
step 00029/02111 (1.37%) | loss: 6.101503 | lrm: 1.00 | dt: 9179.04ms | tok/sec: 57,117 | bf16_mfu: 0.00 | epoch: 1 | total time: 2.91m | eta: 318.6m
step 00030/02111 (1.42%) | loss: 6.070949 | lrm: 1.00 | dt: 9189.30ms | tok/sec: 57,054 | bf16_mfu: 0.00 | epoch: 1 | total time: 3.06m | eta: 318.4m
step 00031/02111 (1.47%) | loss: 6.011069 | lrm: 1.00 | dt: 9185.76ms | tok/sec: 57,076 | bf16_mfu: 0.00 | epoch: 1 | total time: 3.21m | eta: 318.3m
step 00032/02111 (1.52%) | loss: 5.987295 | lrm: 1.00 | dt: 9181.05ms | tok/sec: 57,105 | bf16_mfu: 0.00 | epoch: 1 | total time: 3.37m | eta: 318.1m
